	anatase	rutile				
50.085188	200.333333	-16.7448933748906				
50.495301	267	14.6170799273316				
50.905386	311.333333	-55.6858623632477				
51.315442	314	-4.65365973208486				
51.72547	297	-20.0856434549744				
52.135469	253.666667	20.2595660190404				
52.54544	270.333333	27.9379938606064				
52.955382	315.333333	55.2829699757081				
53.365296	292.333333	77.6278304583611				
53.775181	279.333333	105.30590621455				
54.185037	336.666667	34.3171972442735				
54.594865	317	106.661705641549				
55.004665	343.333333	143.339433406376				
55.414436	332.666667	77.350376444738				
55.824178	321.666667	48.6945327566359				
56.233893	302.666667	157.371912530101				
56.643578	298.333333	140.382503483085				
57.053235	302	131.392978803622				
57.462864	312	123.403339491709				
57.872464	322	121.746915453332				
58.282035	384.333333	100.75703868849				
58.691578	345.666667	177.1003812912				
59.101093	320.666667	88.7769422614613				
59.510579	295.333333	155.453384505258				
59.920036	349	137.46304102259				
60.329466	293.666667	76.1392540014897				
60.738866	305.333333	139.815344159909				
61.148238	314	86.1579866858792				
61.557582	287	125.167180579401				
61.966897	343	75.8429227464585				
62.376184	358	99.5185502810671				
62.785442	363.333333	157.860726089211				
63.194672	361.666667	70.2027872649069				
63.603874	376	114.544732808154				
64.013047	366.666667	98.2198936249367				
64.422191	348.666667	115.228269715255				
64.831307	317	127.569863173124				
65.240395	308.333333	112.244675998545				
65.649454	370	122.252704097501				
66.058485	263.333333	110.593949564009				
66.467487	315	108.935077304052				
66.876461	309.666667	73.2760904116469				
67.285407	326.333333	27.6169878867931				
67.694324	388	110.957767635475				
68.103212	304.333333	48.2984286576914				
68.512072	331.666667	120.97230804746				
68.920904	354.666667	83.9794058047798				
69.329708	274	61.9863889296512				
69.738483	339.666667	35.3265873280579				
70.147229	372.333333	0				
70.555947	383.666667	58.2027537830081				
70.964637	323.666667	65.4054251690923				
71.373298	304.333333	69.6080112155053				
71.781931	377.666667	89.4771818649945				
72.190536	320.333333	48.67960311756				
72.599112	284	28.2152720304541				
73.00766	272.666667	56.7508585464245				
73.416179	350	20.2863607227237				
73.82467	354.666667	66.8217795020992				
74.233133	279.666667	21.0237828845507				
74.641567	347	18.559033927331				
75.049973	300.333333	33.4275365731876				
75.45835	335.333333	34.629286879373				
75.8667	341.333333	36.1642907313817				
76.27502	283.666667	44.6992073009721				
76.683313	359	39.2340434163859				
77.091577	320	111.435461192129				
77.499813	376.666667	56.9701295709476				
77.90802	265	67.5047136100952				
78.316199	390.666667	118.372547252319				
78.72435	378.333333	70.5736324976192				
79.132472	281.333333	104.107966403248				
79.540566	347	64.642216911953				
79.948631	309.333333	104.843049080987				
80.356669	348	187.377134795844				
80.764678	360.666667	95.5778021710303				
81.172658	356.333333	137.111718206545				
81.580611	387.666667	117.312220787884				
81.988534	333.666667	144.512635086804				
82.39643	354.666667	162.379635931547				
82.804297	339.333333	148.91321943662				
83.212136	291	135.780052544768				
83.619947	305.666667	155.646804255992				
84.02773	292.666667	173.180139570293				
84.435484	328.666667	141.380056544923				
84.843209	401	181.913222179881				
85.250907	380	200.446307360663				
85.658576	359.666667	126.979307201774				
86.066217	326.333333	248.178891645961				
86.473829	327.666667	222.045057750477				
86.881414	323	212.577810400816				
87.28897	309	235.443811711484				
87.696497	389.666667	209.976393682481				
88.103997	389	244.508897199301				
88.511468	395	260.041314376451				
88.918911	379.333333	255.573649156676				
89.326325	435.333333	276.43923259723				
89.733712	339.333333	268.304736583608				
90.14107	356.666667	293.503488230314				
90.548399	358.666667	322.03548753735				
90.955701	393	308.234074390209				
91.362974	430.333333	367.765908903396				
91.770219	406	300.29766201966				
92.177436	364	417.162664739				
92.584624	407.333333	329.027583118669				
92.991785	375.666667	299.225755044161				
93.398917	368.333333	354.423841629982				
93.80602	379.666667	334.621842876132				
94.213096	446.333333	350.819764668106				
94.620143	368	396.684268120408				
95.027162	336	342.548688175787				
95.434153	381.333333	420.079693834241				
95.841116	433	391.610616095772				
96.24805	444.333333	319.141453017631				
96.654956	412.333333	386.005541542567				
97.061834	495.666667	347.536213670579				
97.468684	417	399.066804401667				
97.875505	421.666667	369.597308793084				
98.282298	385.333333	443.461064787577				
98.689063	459.666667	369.991404385146				
99.0958	404	370.854995585791				
99.502509	421.333333	351.718503389513				
99.909189	463.333333	407.248593853563				
100.315842	446.666667	477.445270863437				
100.722466	428.333333	380.975195533639				
101.129061	460.333333	413.171701864171				
101.535629	464.333333	452.034795740526				
101.942169	499.333333	456.564473219957				
102.34868	500.666667	398.427399359717				
102.755163	419.666667	425.290242102553				
103.161618	394.333333	448.486336448465				
103.568045	485.333333	456.015682397453				
103.974443	479	398.544942006771				
104.380814	478.666667	387.074122161911				
104.787156	579.333333	421.603217977381				
105.19347	462.666667	396.798897395926				
105.599756	570.333333	381.661160417548				
106.006014	522.666667	432.190009042246				
106.412243	445.333333	467.718771327273				
106.818445	474.333333	484.914121158123				
107.224618	479.333333	447.109385649302				
107.630763	453.333333	355.971234743557				
108.03688	476.666667	425.499667440889				
108.442969	507	368.361351741296				
108.84903	548.333333	386.55628664478				
109.255062	546.666667	434.417802208592				
109.661067	528.666667	407.279239318228				
110.067043	537	384.473924088193				
110.472991	494.666667	427.001859461234				
110.878911	550.666667	466.863046437351				
111.284803	597.666667	443.057484016544				
111.690667	604	446.251839198814				
112.096503	554.666667	430.779444984159				
112.50231	622	466.306966429834				
112.90809	670	443.834407421332				
113.313841	687.666667	450.695097073158				
113.719564	639	423.889037328061				
114.125259	652	402.08289518604				
114.530926	697	438.943336647095				
114.936565	727.333333	430.137029711227				
115.342176	624.666667	484.997307378434				
115.747759	758.333333	363.190835648718				
116.153314	653.333333	398.384281522077				
116.55884	743.666667	454.577642055766				
116.964339	734	415.770923135278				
117.369809	819	450.964118875119				
117.775252	702.333333	403.157235160783				
118.180666	709	482.016933106776				
118.586052	799.666667	405.876547655845				
118.99141	815.666667	375.736080807991				
119.39674	926.333333	423.928864563212				
119.802042	895	415.12156592151				
120.207316	945	411.980851882884				
120.612562	945.333333	475.173388447334				
121.01778	968.333333	396.69917561486				
121.42297	979.666667	370.558214385463				
121.828131	998.333333	366.417166816394				
122.233265	984	429.276040793148				
122.638371	991.666667	373.134832372979				
123.043448	1192.666667	364.326871613139				
123.448498	1164.333333	378.852164399122				
123.853519	1097	397.044038845434				
124.258513	1191.333333	414.235833837569				
124.663478	1215.333333	405.094210490033				
125.068416	1254.333333	391.285840688321				
125.473325	1360.333333	378.477385546937				
125.878207	1316.666667	309.668850951377				
126.28306	1412.333333	349.193564016146				
