	phcn		gc3n4			
383	0.899345843737441	459	0.221446169024965			
382	0.896281470498293	458.5	0.2231214023352			
381	0.892732687533701	458	0.225291393669701			
380	0.8912651259583	457.5	0.229411483883474			
379	0.890703507578756	457	0.230278033756385			
378	0.887084852916304	456.5	0.228773506431131			
377	0.888350904115455	456	0.233026689446753			
376	0.884832748863899	455.5	0.235376066731573			
375	0.884807837278143	455	0.237427431873122			
374	0.88491183426732	454.5	0.239731962670362			
373	0.883985756952063	454	0.242506658256745			
372	0.879061380285438	453.5	0.24265711098927			
371	0.880224884710797	453	0.24378839980499			
370	0.876619027211505	452.5	0.247215539452612			
369	0.873509693573989	452	0.251536715530049			
368	0.87284100687466	451.5	0.253407248060389			
367	0.86929213860328	451	0.253569274080032			
366	0.866674210706565	450.5	0.257899130122807			
365	0.861884202535526	450	0.262621031266682			
364	0.861382559407715	449.5	0.263721940203719			
363	0.859521873525939	449	0.268235522179481			
362	0.854465687281083	448.5	0.270351987061065			
361	0.849793241023466	448	0.27485399574971			
360	0.846884820900953	447.5	0.278040989689648			
359	0.84258306126079	447	0.283570127609957			
358	0.838702835663566	446.5	0.286006304548157			
357	0.836441432598812	446	0.291539782451135			
356	0.834003259843723	445.5	0.294058419060047			
355	0.826762964494999	445	0.301518849268062			
354	0.822254490764556	444.5	0.301916681012721			
353	0.819263230881187	444	0.310415813739517			
352	0.81293476575544	443.5	0.312114193623987			
351	0.809413282966649	443	0.320610433029004			
350	0.800506986996882	442.5	0.321488556189032			
349	0.80404058420827	442	0.330755865848242			
348	0.800242430038289	441.5	0.335567459967277			
347	0.793953294204152	441	0.346194630862774			
346	0.787364878686328	440.5	0.348254675969661			
345	0.779516981164509	440	0.35500045569818			
344	0.775626773814373	439.5	0.363817853820704			
343	0.772522217929478	439	0.370732892873314			
342	0.769208985325666	438.5	0.373744840845602			
341	0.768651547264966	438	0.385766592838739			
340	0.764319842938594	437.5	0.3928986310248			
339	0.759919034675448	437	0.403719654479513			
338	0.758909350124512	436.5	0.411589489719304			
337	0.757944966912829	436	0.419415925132406			
336	0.752901151297196	435.5	0.431062991955119			
335	0.754003486462063	435	0.439167186259036			
334	0.758013132474942	434.5	0.444871370146995			
333	0.751925762937417	434	0.457509399679131			
332	0.754414441032051	433.5	0.465575980799917			
331	0.755920223197091	433	0.474467158627813			
330	0.749990427605161	432.5	0.486567030308992			
329	0.753311167778788	432	0.499740324370305			
328	0.749891122775553	431.5	0.505318648760863			
327	0.753795236277083	431	0.5190344406558			
326	0.75009433928755	430.5	0.526331398183283			
325	0.748248753852191	430	0.538629462406347			
324	0.739689683415772	429.5	0.550314142412191			
323	0.725220609993408	429	0.559765178004389			
322	0.708719370592279	428.5	0.568895054879081			
321	0.686273149846014	428	0.583319710609956			
320	0.672001235867482	427.5	0.591820289997642			
319	0.674625391732202	427	0.599473126103983			
318	0.69196415313298	426.5	0.611264859015663			
317	0.701309386875363	426	0.622752793140513			
316	0.700362663599983	425.5	0.631179592822826			
315	0.701622913937594	425	0.64395360847859			
314	0.695433168239852	424.5	0.651194146231376			
313	0.696955074532758	424	0.663574670125151			
312	0.693360904635861	423.5	0.668151905180059			
311	0.693256992953472	423	0.679923384839283			
310	0.683472651111161	422.5	0.689072068305541			
309	0.677797601338486	422	0.699065601731364			
308	0.672018383963061	421.5	0.704905771742951			
307	0.656219274098279	421	0.717509081413735			
306	0.643243271270848	420.5	0.720334410131256			
305	0.636951831867188	420	0.730330836878858			
304	0.633613431757259	419.5	0.735832488242264			
303	0.623778157755201	419	0.744184061558314			
302	0.616110868729146	418.5	0.749520793580298			
301	0.597464849515758	418	0.75916857505349			
300	0.577520871788373	417.5	0.765759562066816			
