	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
717.5	0.071271	0.090993	0.080471			
717	0.071501	0.092314	0.082481			
716.5	0.071259	0.090607	0.080462			
716	0.071704	0.090987	0.079873			
715.5	0.072452	0.09199	0.082352			
715	0.072124	0.091152	0.081104			
714.5	0.07265	0.092381	0.082419			
714	0.071855	0.091575	0.081109			
713.5	0.070524	0.090127	0.079955			
713	0.071147	0.09102	0.079189			
712.5	0.07204	0.091983	0.081792			
712	0.072713	0.092688	0.083213			
711.5	0.071357	0.091187	0.080385			
711	0.070643	0.092192	0.080729			
710.5	0.071811	0.093327	0.08398			
710	0.070306	0.091976	0.080977			
709.5	0.071656	0.092146	0.08162			
709	0.071694	0.093521	0.082309			
708.5	0.071855	0.090882	0.081341			
708	0.071697	0.092029	0.082179			
707.5	0.071348	0.092928	0.082559			
707	0.073259	0.092053	0.082173			
706.5	0.070662	0.093091	0.081022			
706	0.071471	0.094027	0.082354			
705.5	0.07155	0.093748	0.082872			
705	0.071511	0.093068	0.080605			
704.5	0.071938	0.093634	0.082238			
704	0.072913	0.093778	0.082692			
703.5	0.071604	0.094791	0.08336			
703	0.07307	0.094883	0.0834			
702.5	0.071204	0.093853	0.083119			
702	0.072812	0.09554	0.083119			
701.5	0.072407	0.094622	0.08216			
701	0.07235	0.095038	0.082627			
700.5	0.071881	0.095457	0.082753			
700	0.072753	0.095777	0.083174			
699.5	0.071502	0.095949	0.083184			
699	0.072058	0.096381	0.083157			
698.5	0.072527	0.0947	0.082883			
698	0.072861	0.096721	0.083877			
697.5	0.072529	0.09601	0.083131			
697	0.071552	0.095653	0.083801			
696.5	0.071238	0.095333	0.083183			
696	0.073321	0.096521	0.085459			
695.5	0.072053	0.096395	0.083583			
695	0.072124	0.095929	0.082467			
694.5	0.071971	0.096914	0.08423			
694	0.071028	0.096411	0.083262			
693.5	0.07194	0.098253	0.084176			
693	0.071374	0.097344	0.08337			
692.5	0.070467	0.095474	0.083441			
692	0.070949	0.09694	0.084413			
691.5	0.071239	0.096585	0.083744			
691	0.071649	0.096706	0.084151			
690.5	0.073482	0.099171	0.08553			
690	0.07214	0.098492	0.084914			
689.5	0.071815	0.09725	0.084755			
689	0.07176	0.098997	0.085372			
688.5	0.072682	0.098475	0.084306			
688	0.070619	0.098394	0.084131			
687.5	0.07162	0.099327	0.085252			
687	0.071422	0.098394	0.084768			
686.5	0.072119	0.099183	0.085753			
686	0.071619	0.098706	0.0847			
685.5	0.072936	0.098566	0.085204			
685	0.070859	0.098019	0.084937			
684.5	0.07154	0.100075	0.08557			
