	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
437.5	0.134922	0.36201	0.235734			
437	0.138921	0.364681	0.238425			
436.5	0.140447	0.365583	0.238043			
436	0.142512	0.366691	0.238404			
435.5	0.143495	0.369532	0.239726			
435	0.147277	0.370327	0.240513			
434.5	0.148767	0.372393	0.241134			
434	0.151887	0.373828	0.242005			
433.5	0.153819	0.374869	0.243615			
433	0.156484	0.37765	0.2423			
432.5	0.157886	0.378514	0.245471			
432	0.161959	0.381889	0.247007			
431.5	0.162598	0.38216	0.245624			
431	0.166029	0.385779	0.24944			
430.5	0.168892	0.386047	0.248073			
430	0.171532	0.387643	0.250173			
429.5	0.174411	0.389518	0.250069			
429	0.177153	0.392786	0.251569			
428.5	0.181695	0.396247	0.254594			
428	0.184757	0.398606	0.254173			
427.5	0.185662	0.399842	0.254775			
427	0.186783	0.403473	0.255643			
426.5	0.190437	0.403997	0.256234			
426	0.193152	0.408036	0.257139			
425.5	0.193064	0.410377	0.258891			
425	0.198005	0.41216	0.259408			
424.5	0.200363	0.416106	0.261199			
424	0.20249	0.419245	0.262514			
423.5	0.203638	0.420152	0.263283			
423	0.206222	0.425628	0.26511			
422.5	0.210337	0.428166	0.267478			
422	0.214101	0.433601	0.268987			
421.5	0.21522	0.433815	0.270263			
421	0.218921	0.439649	0.273614			
420.5	0.216999	0.441057	0.272264			
420	0.221862	0.446484	0.274768			
419.5	0.222926	0.44858	0.274265			
419	0.225547	0.452325	0.276387			
418.5	0.228735	0.457452	0.278844			
418	0.229632	0.461322	0.280986			
417.5	0.233704	0.464248	0.282462			
417	0.233584	0.467473	0.28235			
416.5	0.235513	0.471315	0.286124			
416	0.239649	0.473031	0.286231			
415.5	0.239064	0.476463	0.285701			
415	0.240275	0.48027	0.287344			
414.5	0.242815	0.485682	0.293112			
414	0.246021	0.485708	0.292863			
413.5	0.246903	0.488254	0.293143			
413	0.249077	0.492499	0.296819			
412.5	0.2506	0.49388	0.296077			
412	0.251898	0.495408	0.296524			
411.5	0.254478	0.498672	0.299791			
411	0.255634	0.502376	0.299919			
410.5	0.258675	0.500484	0.302317			
410	0.260704	0.50294	0.303572			
409.5	0.261977	0.507051	0.305842			
409	0.265801	0.504977	0.303414			
408.5	0.264862	0.506691	0.30494			
408	0.269154	0.510977	0.307998			
407.5	0.270491	0.511267	0.309091			
407	0.274623	0.512164	0.310468			
406.5	0.272263	0.510356	0.309739			
406	0.27628	0.513983	0.313458			
405.5	0.2791	0.512264	0.315567			
405	0.282715	0.514865	0.317756			
404.5	0.284388	0.512579	0.31845			
404	0.287876	0.513826	0.320417			
403.5	0.288537	0.513909	0.318581			
403	0.291626	0.515103	0.321354			
402.5	0.293628	0.511711	0.324764			
402	0.296183	0.512628	0.325004			
401.5	0.299645	0.51237	0.328091			
401	0.304409	0.515246	0.330937			
400.5	0.307083	0.514282	0.333883			
400	0.308179	0.515372	0.338635			
399.5	0.308274	0.511285	0.335525			
399	0.315507	0.515419	0.345619			
398.5	0.315502	0.513661	0.347571			
398	0.321696	0.515067	0.353598			
397.5	0.326279	0.516808	0.355842			
397	0.330614	0.516451	0.360976			
396.5	0.333706	0.522312	0.367448			
396	0.337676	0.519524	0.372383			
395.5	0.342133	0.522514	0.378191			
395	0.346704	0.522694	0.384707			
394.5	0.350714	0.52387	0.39019			
394	0.354215	0.523756	0.395557			
393.5	0.359087	0.524825	0.403553			
393	0.366068	0.526837	0.411773			
392.5	0.369104	0.525689	0.418386			
392	0.375494	0.532493	0.426431			
391.5	0.379249	0.535366	0.433974			
391	0.3882	0.535298	0.447992			
390.5	0.391018	0.538513	0.450149			
390	0.39666	0.538007	0.46118			
389.5	0.399776	0.539404	0.468709			
389	0.407222	0.540226	0.477922			
388.5	0.412521	0.540906	0.486034			
388	0.419948	0.545068	0.495441			
387.5	0.428258	0.548455	0.505963			
387	0.431492	0.545333	0.516027			
386.5	0.438806	0.551194	0.524688			
386	0.445057	0.548749	0.536085			
385.5	0.449837	0.550906	0.54131			
385	0.461383	0.554348	0.557518			
384.5	0.464724	0.553853	0.562244			
384	0.471329	0.557566	0.572123			
383.5	0.480586	0.559046	0.581452			
383	0.48485	0.557656	0.590378			
382.5	0.492496	0.564402	0.596675			
382	0.498738	0.564487	0.605629			
381.5	0.504295	0.566316	0.613617			
381	0.510374	0.569128	0.624118			
380.5	0.517734	0.569196	0.633432			
380	0.528601	0.57369	0.640685			
379.5	0.534669	0.578438	0.649748			
379	0.543019	0.574078	0.655865			
378.5	0.546737	0.5769	0.664134			
378	0.5521	0.578629	0.671139			
377.5	0.559015	0.583764	0.680909			
377	0.569238	0.581166	0.690024			
376.5	0.572514	0.587519	0.69277			
376	0.575868	0.591266	0.698569			
375.5	0.580506	0.593335	0.70544			
375	0.588064	0.59209	0.709883			
374.5	0.592386	0.599619	0.717667			
374	0.596429	0.598982	0.721066			
373.5	0.608866	0.606168	0.725559			
373	0.613554	0.608554	0.733171			
372.5	0.617931	0.61093	0.734933			
372	0.622932	0.61601	0.74708			
371.5	0.629004	0.622403	0.750425			
371	0.632307	0.623666	0.758696			
370.5	0.63845	0.627212	0.759205			
370	0.64513	0.632158	0.76331			
369.5	0.650138	0.634662	0.771857			
369	0.658767	0.641544	0.774045			
368.5	0.658191	0.643042	0.778009			
368	0.666739	0.651748	0.785215			
367.5	0.670859	0.656486	0.789587			
367	0.678545	0.656765	0.795015			
366.5	0.687686	0.662279	0.800647			
366	0.683212	0.667603	0.80098			
365.5	0.691634	0.673145	0.807927			
365	0.698992	0.671734	0.811316			
364.5	0.707101	0.67799	0.814137			
364	0.703179	0.687831	0.817106			
363.5	0.712993	0.695444	0.817153			
363	0.712383	0.695385	0.818587			
362.5	0.715865	0.69893	0.826334			
362	0.724626	0.702338	0.81841			
361.5	0.726582	0.706023	0.82831			
361	0.73037	0.713923	0.834332			
360.5	0.734574	0.718469	0.829459			
360	0.741456	0.723527	0.833711			
359.5	0.74088	0.728686	0.838363			
359	0.746237	0.731663	0.835809			
358.5	0.743617	0.735329	0.842069			
358	0.751845	0.739487	0.847193			
357.5	0.759399	0.74557	0.853497			
357	0.761292	0.749505	0.849617			
356.5	0.758396	0.754725	0.849478			
356	0.764403	0.754552	0.852472			
355.5	0.774306	0.764063	0.849622			
355	0.774644	0.767021	0.854931			
354.5	0.77345	0.76675	0.862383			
354	0.777489	0.775	0.864486			
353.5	0.777499	0.78025	0.869743			
353	0.781582	0.781914	0.86123			
352.5	0.787417	0.787749	0.866339			
352	0.788719	0.793551	0.867916			
351.5	0.795598	0.792942	0.867536			
351	0.792226	0.797369	0.865336			
350.5	0.802243	0.80104	0.87051			
350	0.804875	0.80466	0.869462			
349.5	0.802435	0.807675	0.875405			
349	0.802147	0.808139	0.871967			
348.5	0.816271	0.809693	0.870089			
348	0.816583	0.821932	0.877263			
347.5	0.814941	0.823219	0.89056			
347	0.813647	0.823729	0.871887			
346.5	0.814683	0.825693	0.880549			
346	0.825873	0.832826	0.877877			
345.5	0.821419	0.829379	0.881366			
345	0.831103	0.838678	0.882896			
344.5	0.823261	0.843538	0.879282			
344	0.829881	0.836494	0.878415			
343.5	0.82078	0.845444	0.871384			
343	0.82926	0.835855	0.882349			
342.5	0.83064	0.847905	0.88035			
342	0.834741	0.85186	0.874416			
341.5	0.833649	0.860859	0.884477			
341	0.831111	0.863193	0.885954			
340.5	0.833018	0.856207	0.877276			
340	0.83833	0.868023	0.890484			
339.5	0.838714	0.857152	0.893794			
339	0.836788	0.862148	0.880998			
338.5	0.841973	0.869359	0.887672			
338	0.84026	0.862081	0.878138			
337.5	0.8446	0.868827	0.873594			
337	0.855572	0.873147	0.878913			
336.5	0.848395	0.868427	0.887819			
336	0.854045	0.890711	0.885766			
335.5	0.846779	0.87121	0.879521			
335	0.855166	0.881156	0.892769			
334.5	0.857134	0.882577	0.893168			
334	0.850446	0.88228	0.890938			
333.5	0.846846	0.890656	0.88008			
333	0.855372	0.891344	0.889346			
332.5	0.840947	0.890376	0.882387			
332	0.852744	0.893561	0.895302			
331.5	0.856991	0.895899	0.884476			
331	0.861629	0.892365	0.902283			
330.5	0.856531	0.89554	0.889999			
330	0.856005	0.893124	0.889099			
329.5	0.844312	0.902749	0.882945			
329	0.853219	0.888337	0.894471			
328.5	0.856107	0.898105	0.881087			
328	0.865919	0.898085	0.887294			
327.5	0.853628	0.895922	0.882151			
327	0.851083	0.89581	0.881759			
326.5	0.853785	0.895452	0.872886			
326	0.861878	0.894447	0.884458			
325.5	0.850053	0.895297	0.879052			
325	0.855241	0.903222	0.88422			
324.5	0.853198	0.895843	0.876409			
324	0.851796	0.903835	0.87506			
323.5	0.848706	0.902411	0.872869			
323	0.846299	0.88613	0.876524			
322.5	0.851284	0.904933	0.873642			
322	0.855507	0.902692	0.879984			
321.5	0.844382	0.895535	0.876177			
321	0.839441	0.8981	0.869057			
320.5	0.834309	0.902603	0.875982			
320	0.840703	0.89019	0.86604			
319.5	0.852217	0.906707	0.8746			
319	0.84316	0.909748	0.86775			
318.5	0.844189	0.909742	0.870629			
318	0.845166	0.897599	0.864905			
317.5	0.838894	0.900755	0.875628			
317	0.838865	0.894634	0.865235			
316.5	0.854714	0.906805	0.874883			
316	0.835083	0.90654	0.865027			
315.5	0.843114	0.906262	0.859245			
315	0.840475	0.905503	0.862363			
314.5	0.834838	0.903921	0.863644			
314	0.835239	0.899809	0.864882			
313.5	0.83373	0.902352	0.867405			
313	0.839558	0.8954	0.855764			
312.5	0.842072	0.904658	0.872026			
312	0.840374	0.90216	0.866393			
311.5	0.830595	0.894578	0.862933			
311	0.836415	0.898183	0.859934			
310.5	0.840171	0.903661	0.859989			
310	0.841406	0.914166	0.86718			
309.5	0.838528	0.913303	0.866898			
309	0.832989	0.906534	0.864066			
308.5	0.825672	0.899782	0.863038			
308	0.837871	0.91478	0.872439			
307.5	0.842613	0.903731	0.866022			
307	0.839919	0.906524	0.852254			
306.5	0.831737	0.903104	0.858184			
306	0.841016	0.91025	0.85515			
305.5	0.834773	0.908892	0.859616			
305	0.836544	0.904731	0.860487			
304.5	0.836081	0.915567	0.870673			
304	0.827213	0.898889	0.862047			
303.5	0.832219	0.904394	0.851765			
303	0.832582	0.904805	0.865026			
302.5	0.836306	0.910295	0.860645			
302	0.837251	0.899738	0.860726			
301.5	0.838415	0.902032	0.854565			
301	0.82995	0.905803	0.854895			
300.5	0.829926	0.899077	0.868361			
300	0.835983	0.90627	0.864745			
299.5	0.826683	0.896601	0.859907			
299	0.834444	0.907959	0.862249			
298.5	0.829651	0.90578	0.855632			
298	0.830934	0.899888	0.861613			
297.5	0.835501	0.90755	0.849444			
297	0.838087	0.899473	0.863987			
296.5	0.824611	0.902269	0.860576			
296	0.820847	0.909972	0.851911			
295.5	0.839975	0.904655	0.8548			
295	0.828405	0.906008	0.848308			
294.5	0.829355	0.900288	0.854991			
294	0.835572	0.899682	0.855327			
293.5	0.825125	0.902833	0.854153			
293	0.831211	0.893153	0.849349			
292.5	0.827724	0.891762	0.856972			
292	0.831844	0.900325	0.847708			
291.5	0.825435	0.901336	0.860903			
291	0.836316	0.899029	0.843914			
290.5	0.832321	0.89143	0.859684			
290	0.818435	0.897709	0.848901			
289.5	0.831298	0.898046	0.847634			
289	0.817449	0.893954	0.85823			
288.5	0.823626	0.886603	0.846708			
288	0.820587	0.893788	0.858414			
287.5	0.820732	0.894754	0.846777			
287	0.820161	0.89526	0.852255			
286.5	0.829974	0.89303	0.857264			
286	0.824676	0.896467	0.853354			
285.5	0.830336	0.890049	0.855486			
285	0.82779	0.900207	0.842204			
284.5	0.823006	0.901433	0.843249			
284	0.832098	0.896561	0.843399			
283.5	0.817395	0.890843	0.852384			
283	0.815484	0.89281	0.838541			
282.5	0.818905	0.890689	0.843388			
282	0.822693	0.885627	0.850378			
281.5	0.831334	0.892422	0.846636			
281	0.822473	0.896132	0.85239			
280.5	0.819388	0.881995	0.84211			
280	0.824366	0.889963	0.843301			
279.5	0.816071	0.886718	0.84593			
279	0.817281	0.891854	0.844233			
278.5	0.831918	0.885867	0.837909			
278	0.815615	0.886377	0.842556			
277.5	0.818808	0.87515	0.827748			
277	0.809024	0.877501	0.842251			
276.5	0.820071	0.886619	0.838784			
276	0.807006	0.879065	0.83926			
275.5	0.81987	0.884383	0.838272			
275	0.821098	0.879402	0.844828			
274.5	0.804444	0.875321	0.832071			
274	0.822817	0.883031	0.841674			
273.5	0.814844	0.878579	0.831912			
273	0.808411	0.882379	0.840282			
272.5	0.817164	0.87246	0.837941			
272	0.819535	0.880832	0.845253			
271.5	0.821921	0.882265	0.835931			
271	0.817627	0.87876	0.8373			
270.5	0.813483	0.874936	0.838143			
270	0.811333	0.872156	0.834099			
269.5	0.814948	0.88288	0.84011			
269	0.822723	0.888602	0.844962			
268.5	0.814024	0.883734	0.842282			
268	0.822174	0.880736	0.835282			
267.5	0.808158	0.885104	0.845004			
267	0.822555	0.888032	0.848877			
266.5	0.822112	0.891002	0.850658			
266	0.81934	0.882853	0.845817			
265.5	0.823677	0.880159	0.840215			
265	0.812709	0.891146	0.85349			
264.5	0.819159	0.880926	0.846297			
264	0.815553	0.886252	0.843782			
263.5	0.823784	0.891122	0.848327			
263	0.826867	0.886849	0.852589			
262.5	0.82201	0.896043	0.850988			
262	0.827789	0.887	0.850433			
261.5	0.816323	0.901049	0.852252			
261	0.81891	0.887234	0.853856			
260.5	0.826557	0.8862	0.840568			
260	0.824074	0.89686	0.842231			
259.5	0.827075	0.902402	0.848064			
259	0.830058	0.89494	0.850624			
258.5	0.831486	0.891252	0.856713			
258	0.825557	0.897043	0.847447			
257.5	0.824308	0.890769	0.858961			
257	0.82514	0.902147	0.857177			
256.5	0.826924	0.890184	0.857236			
256	0.830399	0.898493	0.855744			
255.5	0.829199	0.893827	0.85606			
255	0.819178	0.896779	0.866299			
254.5	0.820613	0.897824	0.850729			
254	0.832479	0.897142	0.84995			
253.5	0.824521	0.893639	0.856008			
253	0.816974	0.895947	0.85507			
252.5	0.821583	0.903831	0.85869			
252	0.829417	0.898945	0.858759			
251.5	0.823722	0.89886	0.850161			
251	0.829071	0.899529	0.860426			
250.5	0.82547	0.897571	0.85686			
250	0.818934	0.888579	0.860447			
249.5	0.828162	0.892062	0.85133			
249	0.81701	0.896687	0.864099			
248.5	0.821129	0.894165	0.851127			
248	0.810527	0.884823	0.84979			
247.5	0.823795	0.891069	0.852003			
247	0.825944	0.889526	0.845389			
246.5	0.817331	0.894089	0.853393			
246	0.809225	0.888804	0.847806			
245.5	0.810623	0.890601	0.850391			
245	0.822793	0.883678	0.862534			
244.5	0.81349	0.888527	0.845423			
244	0.80431	0.876076	0.846442			
243.5	0.806869	0.88233	0.843678			
243	0.818028	0.890414	0.845253			
242.5	0.810037	0.892072	0.844062			
242	0.811985	0.879957	0.830637			
241.5	0.808628	0.884356	0.834597			
241	0.813236	0.883812	0.844422			
240.5	0.80715	0.880678	0.846847			
240	0.799962	0.878857	0.840941			
239.5	0.799007	0.886786	0.835703			
239	0.803735	0.875462	0.833932			
238.5	0.805525	0.872519	0.829905			
238	0.805043	0.869965	0.837325			
237.5	0.802757	0.877375	0.832859			
237	0.789974	0.872275	0.829995			
236.5	0.797763	0.872281	0.835729			
236	0.797882	0.869875	0.833488			
235.5	0.803877	0.873419	0.830786			
235	0.797831	0.864745	0.836325			
234.5	0.798136	0.881041	0.836982			
234	0.788032	0.87019	0.826156			
233.5	0.790524	0.863609	0.822615			
233	0.792615	0.865523	0.836009			
232.5	0.797577	0.874975	0.820503			
232	0.783336	0.851484	0.823832			
231.5	0.786811	0.872418	0.828546			
231	0.778629	0.866552	0.820215			
230.5	0.78261	0.85889	0.819247			
230	0.793355	0.855111	0.820236			
229.5	0.778274	0.856177	0.814065			
229	0.780914	0.858464	0.813352			
228.5	0.780259	0.855548	0.820697			
228	0.787527	0.850373	0.822123			
227.5	0.777023	0.852417	0.807258			
227	0.771725	0.850307	0.811952			
226.5	0.776494	0.847675	0.807225			
226	0.779512	0.842449	0.804454			
225.5	0.763831	0.857838	0.808936			
225	0.774948	0.854353	0.804319			
224.5	0.768172	0.851363	0.811707			
224	0.779873	0.852036	0.810588			
223.5	0.776291	0.859906	0.820542			
223	0.777402	0.8687	0.81744			
222.5	0.787603	0.859813	0.823362			
222	0.790659	0.852408	0.817585			
221.5	0.788464	0.869711	0.812191			
221	0.778295	0.86569	0.825966			
220.5	0.789054	0.877048	0.821583			
220	0.805904	0.871948	0.82954			
219.5	0.806564	0.885124	0.832459			
219	0.802406	0.882721	0.829059			
218.5	0.811224	0.880485	0.846049			
218	0.803016	0.882987	0.847544			
217.5	0.801182	0.878904	0.842435			
217	0.797778	0.875117	0.847048			
216.5	0.79718	0.892932	0.839657			
216	0.80556	0.879239	0.837137			
215.5	0.820066	0.885855	0.870254			
215	0.825816	0.901568	0.852851			
214.5	0.808411	0.89852	0.848003			
214	0.815063	0.887947	0.860145			
213.5	0.823707	0.909517	0.855063			
213	0.799698	0.905894	0.870311			
212.5	0.814872	0.894561	0.860728			
212	0.830614	0.910845	0.859856			
211.5	0.832552	0.903234	0.865247			
211	0.830691	0.928258	0.878825			
210.5	0.815557	0.925941	0.868506			
210	0.826791	0.912076	0.873756			
209.5	0.826973	0.9322	0.869165			
209	0.825705	0.898708	0.875372			
208.5	0.837654	0.925571	0.850075			
208	0.835006	0.918598	0.872819			
207.5	0.834034	0.922737	0.881592			
207	0.827788	0.901273	0.884086			
206.5	0.833979	0.923753	0.889958			
206	0.83367	0.911533	0.85526			
205.5	0.832364	0.913867	0.859006			
205	0.822374	0.930411	0.876065			
204.5	0.82891	0.952214	0.875863			
204	0.839948	0.917651	0.861675			
203.5	0.82969	0.902929	0.869584			
203	0.837916	0.920989	0.863018			
202.5	0.834151	0.912529	0.891816			
202	0.821975	0.902605	0.876334			
201.5	0.851527	0.924431	0.870219			
201	0.832089	0.919269	0.858268			
200.5	0.827819	0.908572	0.883954			
200	0.836082	0.93514	0.88291			
