	gC3N4		g-C3N4 hyb		PhCN		PhCN/Rutile		PhCN/anatase
0.6709697	55	0.6551555	89	0.667016	200	0.6591089	53	0.667016	48
0.6729465	53	0.6571322	102	0.6689928	190	0.6610857	54	0.6689928	29
0.6749234	51	0.6591089	93	0.6709697	177	0.6630624	49	0.6709697	35
0.6769002	49	0.6610857	92	0.6729465	174	0.6650391	50	0.6729465	25
0.6788771	52	0.6630624	74	0.6749234	185	0.667016	72	0.6749234	36
0.6808541	54	0.6650391	69	0.6769002	187	0.6689928	60	0.6769002	26
0.682831	50	0.667016	79	0.6788771	177	0.6709697	45	0.6788771	24
0.684808	63	0.6689928	78	0.6808541	166	0.6729465	61	0.6808541	34
0.686785	58	0.6709697	71	0.682831	160	0.6749234	50	0.682831	35
0.6887619	60	0.6729465	78	0.684808	167	0.6769002	42	0.684808	23
0.6907389	53	0.6749234	74	0.686785	157	0.6788771	42	0.686785	26
0.6927159	38	0.6769002	68	0.6887619	152	0.6808541	43	0.6887619	23
0.6946929	50	0.6788771	73	0.6907389	158	0.682831	42	0.6907389	28
0.69667	42	0.6808541	58	0.6927159	163	0.684808	52	0.6927159	16
0.6986471	46	0.682831	66	0.6946929	159	0.686785	38	0.6946929	19
0.7006242	58	0.684808	67	0.69667	153	0.6887619	47	0.69667	26
0.7026013	49	0.686785	56	0.6986471	126	0.6907389	32	0.6986471	30
0.7045783	39	0.6887619	67	0.7006242	147	0.6927159	37	0.7006242	22
0.7065554	34	0.6907389	61	0.7026013	143	0.6946929	50	0.7026013	22
0.7085325	48	0.6927159	57	0.7045783	151	0.69667	40	0.7045783	23
0.7105096	36	0.6946929	56	0.7065554	119	0.6986471	33	0.7065554	22
0.7124867	43	0.69667	55	0.7085325	122	0.7006242	37	0.7085325	21
0.7144639	43	0.6986471	65	0.7105096	107	0.7026013	36	0.7105096	19
0.7164411	35	0.7006242	53	0.7124867	121	0.7045783	38	0.7124867	17
0.7184183	33	0.7026013	56	0.7144639	131	0.7065554	20	0.7144639	20
0.7203955	33	0.7045783	48	0.7164411	108	0.7085325	28	0.7164411	22
0.7223727	38	0.7065554	57	0.7184183	112	0.7105096	25	0.7184183	16
0.7243499	39	0.7085325	52	0.7203955	108	0.7124867	40	0.7203955	17
0.7263271	33	0.7105096	46	0.7223727	125	0.7144639	31	0.7223727	13
0.7283043	41	0.7124867	40	0.7243499	107	0.7164411	28	0.7243499	15
0.7302815	36	0.7144639	57	0.7263271	118	0.7184183	31	0.7263271	22
0.7322587	31	0.7164411	29	0.7283043	105	0.7203955	25	0.7283043	17
0.7342359	28	0.7184183	52	0.7302815	122	0.7223727	30	0.7302815	14
0.7362131	21	0.7203955	44	0.7322587	104	0.7243499	34	0.7322587	14
0.7381904	29	0.7223727	42	0.7342359	104	0.7263271	23	0.7342359	21
0.7401676	22	0.7243499	43	0.7362131	98	0.7283043	29	0.7362131	17
0.7421449	28	0.7263271	38	0.7381904	90	0.7302815	29	0.7381904	20
0.7441222	38	0.7283043	41	0.7401676	103	0.7322587	34	0.7401676	15
0.7460995	24	0.7302815	33	0.7421449	87	0.7342359	44	0.7421449	18
0.7480769	26	0.7322587	41	0.7441222	103	0.7362131	20	0.7441222	18
0.7500542	41	0.7342359	32	0.7460995	96	0.7381904	23	0.7460995	15
0.7520315	35	0.7362131	37	0.7480769	86	0.7401676	30	0.7480769	21
0.7540088	25	0.7381904	38	0.7500542	92	0.7421449	24	0.7500542	16
0.7559862	35	0.7401676	53	0.7520315	87	0.7441222	22	0.7520315	26
0.7579635	37	0.7421449	41	0.7540088	96	0.7460995	29	0.7540088	18
0.7599408	19	0.7441222	49	0.7559862	89	0.7480769	27	0.7559862	11
0.7619181	29	0.7460995	40	0.7579635	88	0.7500542	32	0.7579635	17
0.7638955	27	0.7480769	42	0.7599408	88	0.7520315	23	0.7599408	14
0.7658728	23	0.7500542	33	0.7619181	79	0.7540088	22	0.7619181	5
0.7678501	24	0.7520315	38	0.7638955	95	0.7559862	20	0.7638955	13
0.7698274	33	0.7540088	30	0.7658728	84	0.7579635	16	0.7658728	8
0.7718047	21	0.7559862	40	0.7678501	94	0.7599408	24	0.7678501	14
0.7737821	20	0.7579635	33	0.7698274	55	0.7619181	27	0.7698274	15
0.7757594	26	0.7599408	38	0.7718047	75	0.7638955	19	0.7718047	15
0.7777367	25	0.7619181	34	0.7737821	68	0.7658728	18	0.7737821	16
0.779714	21	0.7638955	23	0.7757594	80	0.7678501	18	0.7757594	9
0.7816914	22	0.7658728	34	0.7777367	71	0.7698274	20	0.7777367	4
0.7836687	28	0.7678501	42	0.779714	74	0.7718047	23	0.779714	12
0.785646	21	0.7698274	46	0.7816914	63	0.7737821	21	0.7816914	13
0.7876233	28	0.7718047	35	0.7836687	84	0.7757594	21	0.7836687	7
0.7896007	26	0.7737821	28	0.785646	73	0.7777367	24	0.785646	10
0.791578	18	0.7757594	38	0.7876233	68	0.779714	20	0.7876233	9
0.7935553	22	0.7777367	35	0.7896007	62	0.7816914	14	0.7896007	8
0.7955326	16	0.779714	25	0.791578	67	0.7836687	27	0.791578	10
0.79751	30	0.7816914	23	0.7935553	53	0.785646	27	0.7935553	12
0.7994873	23	0.7836687	29	0.7955326	75	0.7876233	14	0.7955326	13
0.8014646	26	0.785646	22	0.79751	53	0.7896007	18	0.79751	10
0.8034419	18	0.7876233	27	0.7994873	56	0.791578	14	0.7994873	6
0.8054193	22	0.7896007	38	0.8014646	65	0.7935553	19	0.8014646	6
0.8073966	18	0.791578	36	0.8034419	61	0.7955326	14	0.8034419	17
0.8093739	14	0.7935553	25	0.8054193	70	0.79751	17	0.8054193	9
0.8113512	16	0.7955326	32	0.8073966	55	0.7994873	16	0.8073966	8
0.8133286	16	0.79751	30	0.8093739	56	0.8014646	15	0.8093739	9
0.8153059	21	0.7994873	33	0.8113512	56	0.8034419	17	0.8113512	11
0.8172832	21	0.8014646	21	0.8133286	42	0.8054193	14	0.8133286	9
0.8192605	22	0.8034419	23	0.8153059	60	0.8073966	15	0.8153059	9
0.8212378	25	0.8054193	25	0.8172832	60	0.8093739	10	0.8172832	10
0.823215	19	0.8073966	15	0.8192605	45	0.8113512	8	0.8192605	15
0.8251922	15	0.8093739	25	0.8212378	48	0.8133286	21	0.8212378	9
0.8271694	17	0.8113512	22	0.823215	48	0.8153059	18	0.823215	7
0.8291466	18	0.8133286	24	0.8251922	56	0.8172832	8	0.8251922	12
0.8311238	21	0.8153059	21	0.8271694	53	0.8192605	17	0.8271694	8
0.833101	16	0.8172832	27	0.8291466	45	0.8212378	11	0.8291466	9
0.8350782	16	0.8192605	22	0.8311238	48	0.823215	6	0.8311238	9
0.8370554	19	0.8212378	25	0.833101	48	0.8251922	16	0.833101	4
0.8390326	18	0.823215	29	0.8350782	52	0.8271694	12	0.8350782	10
0.8410099	18	0.8251922	25	0.8370554	46	0.8291466	14	0.8370554	8
0.8429871	17	0.8271694	25	0.8390326	62	0.8311238	8	0.8390326	8
0.8449643	19	0.8291466	29	0.8410099	40	0.833101	15	0.8410099	5
0.8469415	20	0.8311238	14	0.8429871	44	0.8350782	13	0.8429871	12
0.8489186	13	0.833101	21	0.8449643	54	0.8370554	12	0.8449643	8
0.8508957	16	0.8350782	23	0.8469415	53	0.8390326	16	0.8469415	3
0.8528728	11	0.8370554	22	0.8489186	37	0.8410099	8	0.8489186	9
0.8548499	17	0.8390326	16	0.8508957	46	0.8429871	16	0.8508957	8
0.856827	15	0.8410099	30	0.8528728	47	0.8449643	15	0.8528728	9
0.858804	9	0.8429871	18	0.8548499	42	0.8469415	11	0.8548499	8
0.8607811	18	0.8449643	20	0.856827	50	0.8489186	9	0.856827	7
0.8627582	19	0.8469415	21	0.858804	59	0.8508957	6	0.858804	5
0.8647353	16	0.8489186	25	0.8607811	58	0.8528728	5	0.8607811	10
0.8667124	17	0.8508957	33	0.8627582	50	0.8548499	6	0.8627582	7
0.8686894	19	0.8528728	24	0.8647353	40	0.856827	16	0.8647353	12
0.8706663	15	0.8548499	18	0.8667124	39	0.858804	11	0.8667124	5
0.8726433	20	0.856827	18	0.8686894	48	0.8607811	6	0.8686894	16
0.8746203	15	0.858804	18	0.8706663	33	0.8627582	10	0.8706663	3
0.8765972	17	0.8607811	21	0.8726433	56	0.8647353	13	0.8726433	6
0.8785742	19	0.8627582	27	0.8746203	44	0.8667124	9	0.8746203	8
0.8805512	19	0.8647353	22	0.8765972	40	0.8686894	12	0.8765972	5
0.8825281	19	0.8667124	20	0.8785742	39	0.8706663	8	0.8785742	11
0.884505	23	0.8686894	18	0.8805512	38	0.8726433	10	0.8805512	5
0.8864818	14	0.8706663	21	0.8825281	44	0.8746203	11	0.8825281	11
0.8884587	9	0.8726433	21	0.884505	34	0.8765972	5	0.884505	11
0.8904355	14	0.8746203	32	0.8864818	41	0.8785742	4	0.8864818	4
0.8924124	13	0.8765972	15	0.8884587	36	0.8805512	12	0.8884587	7
0.8943892	22	0.8785742	22	0.8904355	37	0.8825281	9	0.8904355	7
0.896366	19	0.8805512	26	0.8924124	38	0.884505	10	0.8924124	4
0.8983427	13	0.8825281	21	0.8943892	33	0.8864818	13	0.8943892	4
0.9003195	11	0.884505	15	0.896366	35	0.8884587	9	0.896366	4
0.9022962	15	0.8864818	27	0.8983427	38	0.8904355	9	0.8983427	5
0.9042729	7	0.8884587	26	0.9003195	34	0.8924124	7	0.9003195	5
0.9062496	15	0.8904355	20	0.9022962	31	0.8943892	14	0.9022962	8
0.9082263	14	0.8924124	17	0.9042729	41	0.896366	15	0.9042729	4
0.9102029	13	0.8943892	13	0.9062496	33	0.8983427	12	0.9062496	8
0.9121795	22	0.896366	23	0.9082263	28	0.9003195	7	0.9082263	7
0.9141561	14	0.8983427	17	0.9102029	28	0.9022962	6	0.9102029	7
0.9161327	10	0.9003195	18	0.9121795	31	0.9042729	10	0.9121795	2
0.9181094	13	0.9022962	12	0.9141561	41	0.9062496	8	0.9141561	7
0.9200858	12	0.9042729	20	0.9161327	33	0.9082263	12	0.9161327	2
0.9220623	20	0.9062496	21	0.9181094	36	0.9102029	3	0.9181094	9
0.9240388	14	0.9082263	21	0.9200858	36	0.9121795	7	0.9200858	5
0.9260153	11	0.9102029	21	0.9220623	35	0.9141561	7	0.9220623	7
