	gC3N4		g-C3N4 hyb		PhCN		PhCN/Rutile		PhCN/anatase
1.229917	7	1.214162	3	1.225979	17	1.218101	3	1.225979	4
1.231886	4	1.216132	6	1.227948	23	1.220071	6	1.227948	2
1.233855	4	1.218101	10	1.229917	10	1.22204	5	1.229917	2
1.235824	8	1.220071	12	1.231886	15	1.22401	5	1.231886	1
1.237793	13	1.22204	6	1.233855	19	1.225979	3	1.233855	1
1.239761	4	1.22401	6	1.235824	13	1.227948	4	1.235824	2
1.24173	9	1.225979	10	1.237793	13	1.229917	2	1.237793	1
1.243699	6	1.227948	6	1.239761	20	1.231886	2	1.239761	0
1.245667	7	1.229917	12	1.24173	9	1.233855	5	1.24173	3
1.247635	7	1.231886	12	1.243699	6	1.235824	2	1.243699	1
1.249604	6	1.233855	10	1.245667	19	1.237793	5	1.245667	4
1.251572	7	1.235824	12	1.247635	15	1.239761	6	1.247635	0
1.25354	8	1.237793	4	1.249604	17	1.24173	1	1.249604	3
1.255508	4	1.239761	10	1.251572	9	1.243699	3	1.251572	0
1.257476	7	1.24173	10	1.25354	8	1.245667	5	1.25354	2
1.259444	5	1.243699	14	1.255508	12	1.247635	5	1.255508	2
1.261412	5	1.245667	3	1.257476	10	1.249604	7	1.257476	1
1.26338	4	1.247635	8	1.259444	11	1.251572	3	1.259444	2
1.265348	6	1.249604	11	1.261412	12	1.25354	3	1.261412	0
1.267316	9	1.251572	8	1.26338	11	1.255508	3	1.26338	6
1.269283	4	1.25354	10	1.265348	11	1.257476	3	1.265348	1
1.271251	7	1.255508	5	1.267316	7	1.259444	5	1.267316	5
1.273218	11	1.257476	7	1.269283	12	1.261412	2	1.269283	6
1.275185	6	1.259444	10	1.271251	12	1.26338	3	1.271251	5
1.277153	8	1.261412	8	1.273218	14	1.265348	4	1.273218	1
1.27912	8	1.26338	3	1.275185	13	1.267316	3	1.275185	4
1.281087	5	1.265348	7	1.277153	11	1.269283	4	1.277153	0
1.283054	8	1.267316	14	1.27912	18	1.271251	2	1.27912	4
1.285021	8	1.269283	11	1.281087	12	1.273218	1	1.281087	3
1.286988	12	1.271251	5	1.283054	9	1.275185	5	1.283054	1
1.288954	1	1.273218	12	1.285021	14	1.277153	5	1.285021	4
1.290921	8	1.275185	7	1.286988	11	1.27912	4	1.286988	3
1.292888	3	1.277153	4	1.288954	16	1.281087	4	1.288954	5
1.294854	7	1.27912	10	1.290921	14	1.283054	4	1.290921	1
1.296821	6	1.281087	11	1.292888	17	1.285021	4	1.292888	3
1.298787	10	1.283054	7	1.294854	12	1.286988	2	1.294854	2
1.300753	7	1.285021	7	1.296821	13	1.288954	2	1.296821	0
1.30272	15	1.286988	5	1.298787	16	1.290921	4	1.298787	8
1.304686	5	1.288954	4	1.300753	15	1.292888	4	1.300753	1
1.306652	8	1.290921	4	1.30272	13	1.294854	4	1.30272	5
1.308618	8	1.292888	7	1.304686	9	1.296821	2	1.304686	2
1.310583	10	1.294854	7	1.306652	15	1.298787	2	1.306652	1
1.312549	7	1.296821	12	1.308618	11	1.300753	2	1.308618	0
1.314515	8	1.298787	10	1.310583	14	1.30272	1	1.310583	6
1.316481	5	1.300753	13	1.312549	14	1.304686	5	1.312549	1
1.318446	6	1.30272	6	1.314515	8	1.306652	1	1.314515	1
1.320411	12	1.304686	7	1.316481	6	1.308618	4	1.316481	1
1.322377	7	1.306652	7	1.318446	8	1.310583	2	1.318446	6
1.324342	15	1.308618	10	1.320411	14	1.312549	2	1.320411	4
1.326307	9	1.310583	13	1.322377	12	1.314515	1	1.322377	1
1.328272	7	1.312549	10	1.324342	12	1.316481	3	1.324342	3
1.330237	7	1.314515	14	1.326307	14	1.318446	6	1.326307	3
1.332202	9	1.316481	9	1.328272	12	1.320411	3	1.328272	4
1.334167	5	1.318446	5	1.330237	7	1.322377	3	1.330237	2
1.336132	9	1.320411	7	1.332202	10	1.324342	3	1.332202	6
1.338096	7	1.322377	9	1.334167	7	1.326307	2	1.334167	3
1.340061	5	1.324342	8	1.336132	11	1.328272	9	1.336132	3
1.342025	9	1.326307	8	1.338096	10	1.330237	2	1.338096	1
1.343989	7	1.328272	12	1.340061	16	1.332202	2	1.340061	6
1.345954	4	1.330237	11	1.342025	7	1.334167	4	1.342025	4
1.347918	8	1.332202	8	1.343989	12	1.336132	5	1.343989	0
1.349882	4	1.334167	12	1.345954	7	1.338096	4	1.345954	2
1.351846	2	1.336132	7	1.347918	5	1.340061	5	1.347918	2
1.35381	6	1.338096	5	1.349882	14	1.342025	2	1.349882	1
1.355774	5	1.340061	5	1.351846	11	1.343989	4	1.351846	3
1.357737	4	1.342025	9	1.35381	8	1.345954	4	1.35381	4
1.359701	7	1.343989	13	1.355774	10	1.347918	1	1.355774	0
1.361664	5	1.345954	8	1.357737	8	1.349882	0	1.357737	1
1.363628	3	1.347918	13	1.359701	10	1.351846	2	1.359701	2
1.365591	6	1.349882	7	1.361664	14	1.35381	3	1.361664	3
1.367554	4	1.351846	7	1.363628	11	1.355774	3	1.363628	7
1.369517	5	1.35381	11	1.365591	13	1.357737	5	1.365591	1
1.37148	12	1.355774	11	1.367554	17	1.359701	4	1.367554	2
1.373443	7	1.357737	9	1.369517	12	1.361664	5	1.369517	1
1.375406	8	1.359701	8	1.37148	13	1.363628	5	1.37148	3
1.377369	8	1.361664	5	1.373443	12	1.365591	1	1.373443	3
1.379332	4	1.363628	7	1.375406	8	1.367554	8	1.375406	3
1.381294	5	1.365591	7	1.377369	5	1.369517	0	1.377369	2
1.383257	3	1.367554	12	1.379332	9	1.37148	4	1.379332	8
1.385219	6	1.369517	6	1.381294	9	1.373443	3	1.381294	1
1.387181	7	1.37148	4	1.383257	11	1.375406	4	1.383257	1
1.389143	10	1.373443	6	1.385219	12	1.377369	4	1.385219	1
1.391105	5	1.375406	12	1.387181	11	1.379332	1	1.387181	3
1.393067	5	1.377369	6	1.389143	6	1.381294	3	1.389143	2
1.395029	4	1.379332	13	1.391105	4	1.383257	5	1.391105	0
1.396991	13	1.381294	8	1.393067	10	1.385219	2	1.393067	3
1.398953	3	1.383257	7	1.395029	10	1.387181	1	1.395029	3
1.400914	6	1.385219	7	1.396991	10	1.389143	3	1.396991	1
1.402876	6	1.387181	10	1.398953	9	1.391105	7	1.398953	4
1.404837	12	1.389143	8	1.400914	5	1.393067	3	1.400914	1
1.406798	5	1.391105	9	1.402876	10	1.395029	5	1.402876	2
1.40876	5	1.393067	7	1.404837	7	1.396991	1	1.404837	6
1.410721	6	1.395029	9	1.406798	9	1.398953	2	1.406798	2
1.412682	3	1.396991	5	1.40876	14	1.400914	0	1.40876	0
1.414642	6	1.398953	4	1.410721	11	1.402876	2	1.410721	0
1.416603	12	1.400914	7	1.412682	13	1.404837	4	1.412682	4
1.418564	2	1.402876	11	1.414642	7	1.406798	3	1.414642	4
1.420524	2	1.404837	10	1.416603	8	1.40876	3	1.416603	2
1.422485	11	1.406798	9	1.418564	9	1.410721	3	1.418564	2
1.424445	5	1.40876	6	1.420524	10	1.412682	5	1.420524	2
1.426405	5	1.410721	8	1.422485	10	1.414642	3	1.422485	2
1.428366	4	1.412682	7	1.424445	6	1.416603	4	1.424445	4
1.430326	6	1.414642	9	1.426405	7	1.418564	1	1.426405	1
1.432286	10	1.416603	9	1.428366	5	1.420524	2	1.428366	2
1.434245	5	1.418564	8	1.430326	11	1.422485	4	1.430326	1
1.436205	6	1.420524	6	1.432286	11	1.424445	3	1.432286	2
1.438165	7	1.422485	9	1.434245	15	1.426405	2	1.434245	3
1.440124	5	1.424445	7	1.436205	9	1.428366	3	1.436205	1
1.442084	9	1.426405	7	1.438165	13	1.430326	5	1.438165	2
1.444043	5	1.428366	4	1.440124	18	1.432286	0	1.440124	2
1.446002	7	1.430326	6	1.442084	9	1.434245	1	1.442084	0
1.447961	6	1.432286	7	1.444043	13	1.436205	1	1.444043	1
1.44992	6	1.434245	8	1.446002	10	1.438165	2	1.446002	2
1.451879	4	1.436205	6	1.447961	5	1.440124	1	1.447961	1
1.453838	7	1.438165	7	1.44992	10	1.442084	3	1.44992	2
1.455796	6	1.440124	12	1.451879	6	1.444043	2	1.451879	5
1.457755	4	1.442084	6	1.453838	12	1.446002	2	1.453838	4
1.459713	3	1.444043	9	1.455796	6	1.447961	2	1.455796	2
1.461672	6	1.446002	9	1.457755	4	1.44992	3	1.457755	1
1.46363	8	1.447961	9	1.459713	8	1.451879	3	1.459713	0
1.465588	2	1.44992	6	1.461672	11	1.453838	5	1.461672	4
1.467546	5	1.451879	7	1.46363	7	1.455796	2	1.46363	2
1.469504	6	1.453838	13	1.465588	7	1.457755	3	1.465588	5
1.471462	5	1.455796	16	1.467546	6	1.459713	2	1.467546	1
1.473419	6	1.457755	9	1.469504	9	1.461672	1	1.469504	1
1.475377	6	1.459713	10	1.471462	5	1.46363	3	1.471462	3
1.477334	3	1.461672	11	1.473419	6	1.465588	0	1.473419	1
1.479291	7	1.46363	12	1.475377	18	1.467546	3	1.475377	1
1.481249	7	1.465588	7	1.477334	13	1.469504	5	1.477334	1
1.483206	7	1.467546	7	1.479291	11	1.471462	1	1.479291	5
1.485163	8	1.469504	2	1.481249	11	1.473419	2	1.481249	2
1.48712	4	1.471462	10	1.483206	8	1.475377	5	1.483206	2
1.489076	4	1.473419	5	1.485163	5	1.477334	4	1.485163	2
1.491033	5	1.475377	14	1.48712	7	1.479291	3	1.48712	2
1.492989	9	1.477334	5	1.489076	6	1.481249	1	1.489076	1
1.494946	9	1.479291	12	1.491033	9	1.483206	4	1.491033	3
1.496902	5	1.481249	15	1.492989	9	1.485163	2	1.492989	1
1.498858	5	1.483206	2	1.494946	4	1.48712	1	1.494946	3
1.500814	6	1.485163	7	1.496902	9	1.489076	2	1.496902	0
1.50277	6	1.48712	9	1.498858	8	1.491033	4	1.498858	4
