	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
21.3748	2500	4229	1875
21.4249	2333	3917	1777
21.475	2615	4021	1686
21.5252	2635	4313	1497
21.5753	2563	4354	1738
21.6254	2792	4031	1543
21.6755	2750	4448	1602
21.7256	2427	4229	1732
21.7757	2573	4573	1693
21.8258	2417	4125	1777
21.8759	2396	4188	1647
21.926	2500	3917	1738
21.9761	2594	3938	1862
22.0262	2813	4365	1784
22.0764	2594	4500	1868
22.1265	2771	3854	1973
22.1766	2458	4500	1764
22.2267	2531	4104	2103
22.2768	2573	3719	1790
22.3269	2573	4323	1771
22.377	2552	4208	1849
22.4271	2771	4052	1816
22.4772	2469	4333	1816
22.5273	2604	4250	1882
22.5774	2990	4469	2109
22.6276	2604	4438	2012
22.6777	2344	4010	1966
22.7278	2188	4021	2018
22.7779	2792	4146	2155
22.828	2688	4125	1973
22.8781	2833	3958	2077
22.9282	2667	4115	1999
22.9783	2604	4260	2122
23.0284	2833	4531	2292
23.0785	2875	4219	2155
23.1286	2990	3958	2305
23.1788	2792	4281	2533
23.2289	2781	4417	2435
23.279	2938	4083	3027
23.3291	2896	3656	2773
23.3792	2667	4125	2695
23.4293	2969	4094	2793
23.4794	2813	4469	2728
23.5295	2656	4458	2793
23.5796	2990	4188	3021
23.6297	3177	4229	2839
23.6798	3219	4448	3105
23.73	2969	4708	2936
23.7801	3115	4156	2962
23.8302	3323	4354	3229
23.8803	3583	4646	3249
23.9304	3656	5042	3079
23.9805	4000	4667	2708
24.0306	3490	4521	2988
24.0807	3813	4875	3066
24.1308	4406	4604	2878
24.1809	4219	4531	3203
24.231	4365	4552	2930
24.2811	4750	4844	3268
24.3313	5208	4521	3034
24.3814	5771	4635	3275
24.4315	5490	4906	3158
24.4816	6396	4635	3678
24.5317	6698	4854	3464
24.5818	7396	5063	3913
24.6319	8250	5271	3522
24.682	9073	4917	3867
24.7321	10344	5375	4089
24.7822	10698	4813	4160
24.8323	12104	5042	3848
24.8825	13958	5417	4401
24.9326	15552	5458	4102
24.9827	16948	5823	3991
25.0328	19260	5427	4062
25.0829	21490	5813	4342
25.133	23979	5417	4382
25.1831	25208	5896	4245
25.2332	27896	6031	4290
25.2833	28708	5635	4674
25.3334	29990	6406	4772
25.3835	27875	6125	4277
25.4337	27104	5563	4505
25.4838	26667	6167	4525
25.5339	23406	6271	4160
25.584	21490	6875	4460
25.6341	19333	6375	4798
25.6842	17042	6708	4427
25.7343	15510	6615	4655
25.7844	14385	6719	4655
25.8345	13010	6563	4596
25.8846	11240	7490	4069
25.9347	9833	7625	4948
25.9849	8948	7490	4473
26.035	8521	7385	4746
26.0851	7302	6885	4818
26.1352	6698	7688	5143
26.1853	6375	8219	4883
26.2354	5927	8365	4974
26.2855	5521	8969	5260
26.3356	5406	9208	5254
26.3857	4917	9760	5801
26.4358	5083	9760	5651
26.4859	4448	10396	5566
26.5361	4438	10427	6146
26.5862	4188	10292	6113
26.6363	4167	12260	6217
26.6864	3719	12615	6999
26.7365	3656	12917	7454
26.7866	3510	13583	7904
