	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
60.0589	854	1365	898
60.109	958	1250	723
60.1592	948	1281	1022
60.2093	917	1188	885
60.2594	917	1490	827
60.3095	781	1177	866
60.3596	1083	1344	788
60.4097	792	1229	937
60.4598	1010	1333	905
60.5099	1042	1292	853
60.56	1063	1229	801
60.6101	760	1427	833
60.6602	1000	1385	892
60.7104	917	1427	898
60.7605	885	1083	781
60.8106	854	1135	898
60.8607	1083	1365	762
60.9108	1198	1188	892
60.9609	1042	1146	768
61.011	1042	1573	918
61.0611	1188	1521	814
61.1112	1052	1417	853
61.1613	1188	1365	1035
61.2114	1104	1458	1035
61.2616	1198	1448	1016
61.3117	990	1302	957
61.3618	1188	1354	970
61.4119	1313	1406	879
61.462	1198	1542	1250
61.5121	1552	1365	990
61.5622	1469	1375	1048
61.6123	1448	1510	1016
61.6624	1667	1521	983
61.7125	2135	1563	1029
61.7626	1906	1448	1120
61.8128	2063	1563	1172
61.8629	1927	1667	957
61.913	2167	1833	977
61.9631	2083	1875	1217
62.0132	2510	1698	1081
62.0633	2458	1469	1191
62.1134	2625	1552	1263
62.1635	2979	1542	1152
62.2136	3010	1719	1120
62.2637	3010	1646	1361
62.3138	3323	1740	1230
62.3639	3573	1969	1335
62.4141	3906	2010	1217
62.4642	4021	2031	1348
62.5143	4729	1969	1419
62.5644	4344	1979	1491
62.6145	4125	2271	1582
62.6646	4552	2219	1686
62.7147	4240	2365	1790
62.7648	4292	2260	1973
62.8149	4365	3021	2057
62.865	4167	2792	2135
62.9151	3875	2865	2194
62.9653	3313	3094	2148
63.0154	3188	3052	2155
63.0655	3188	2792	1862
63.1156	3198	3135	1751
63.1657	2771	2802	1921
63.2158	2594	2854	1790
63.2659	2604	2854	1634
63.316	2271	2583	1647
63.3661	1906	2604	1484
63.4162	1875	2729	1413
63.4663	1813	2552	1380
63.5165	1760	2542	1445
63.5666	1760	2427	1393
63.6167	1635	2292	1354
63.6668	1365	2104	1257
63.7169	1427	2281	1387
63.767	1302	2188	1204
63.8171	1344	2229	1204
63.8672	1323	2292	1191
63.9173	1188	2073	1322
63.9674	1125	2188	1387
64.0175	1156	1823	1230
64.0677	1198	2010	1270
64.1178	1271	1844	1152
64.1679	1167	1729	1172
64.218	1000	1740	1087
64.2681	1115	1615	1204
64.3182	927	1417	983
64.3683	958	1823	866
64.4184	958	1656	1185
64.4685	750	1760	1022
64.5186	1094	1563	892
64.5687	979	1708	931
64.6189	906	1792	970
64.669	781	1802	1003
64.7191	938	1719	918
64.7692	1000	1604	1042
64.8193	885	1719	937
64.8694	979	1594	846
64.9195	792	1542	957
64.9696	833	1500	1003
65.0197	833	1354	990
65.0698	844	1542	983
65.1199	708	1688	781
65.1701	813	1375	853
65.2202	708	1427	885
65.2703	927	1458	814
65.3204	719	1344	853
65.3705	979	1438	892
65.4206	854	1229	840
65.4707	906	1323	924
65.5208	896	1240	820
65.5709	844	1292	846
65.621	677	1583	833
65.6711	802	1344	892
65.7212	802	1094	944
65.7714	875	1604	846
65.8215	688	1188	697
65.8716	865	1302	781
65.9217	771	1365	710
65.9718	750	1115	697
66.0219	906	1583	879
66.072	854	1229	846
66.1221	865	1219	918
66.1722	823	1323	710
66.2223	823	1365	723
66.2724	844	1479	729
66.3226	854	1167	820
66.3727	813	1385	924
66.4228	604	1698	801
66.4729	771	1438	710
66.523	833	1365	859
66.5731	771	1573	892
66.6232	688	1469	931
66.6733	771	1510	879
66.7234	708	1240	1003
66.7735	740	1271	1003
66.8236	615	1375	885
66.8738	927	1313	944
66.9239	750	1583	866
66.974	760	1385	944
67.0241	802	1427	892
67.0742	813	1406	924
67.1243	865	1240	866
67.1744	813	1552	964
67.2245	594	1427	990
67.2746	635	1615	937
67.3247	740	1750	911
67.3748	813	2031	911
67.425	771	1552	944
67.4751	750	1635	1087
67.5252	740	1646	1022
67.5753	813	1844	1003
67.6254	802	1792	1185
67.6755	927	1792	1211
67.7256	844	1688	1126
67.7757	969	1865	1113
67.8258	1000	1823	1230
67.8759	802	1927	1257
67.926	979	2052	1237
67.9762	1198	1875	1257
68.0263	1177	1990	1458
68.0764	958	2042	1348
68.1265	938	2427	1452
68.1766	1094	2563	1686
68.2267	1177	2292	1536
68.2768	1333	2552	1602
68.3269	1469	2365	1758
68.377	1344	2229	1602
68.4271	1500	2646	1810
68.4772	1552	2510	1471
68.5274	1385	2635	1719
68.5775	1771	2677	1823
68.6276	1906	2896	1641
68.6777	2094	2583	1719
68.7278	1990	2688	1576
68.7779	2177	3021	1914
68.828	2167	2625	1589
68.8781	1990	2542	1784
68.9282	1875	2521	1758
68.9783	2083	2469	1895
69.0284	2010	2583	1875
69.0785	1865	2458	1797
69.1287	1813	2719	1764
69.1788	1979	2448	1758
69.2289	1729	2677	1549
69.279	1625	2260	1667
69.3291	1385	2167	1667
69.3792	1708	2823	1849
69.4293	1490	2042	1895
69.4794	1583	2354	1732
69.5295	1531	2333	1712
69.5796	1594	2052	1771
69.6297	1688	2656	1758
69.6799	1667	2313	1810
69.73	1667	2573	1777
69.7801	1865	2333	1712
69.8302	1708	2583	1758
69.8803	1719	2188	1569
69.9304	1927	2365	1725
69.9805	2052	2375	1608
