	gcen4	gc3n4 tio2 water				
446.347266	13737	3739				
446.452766	13562	3616				
446.558266	13667	3612				
446.663766	13641	3751				
446.769266	13692	3745				
446.874765	13680	3652				
446.980264	13799	3691				
447.085763	13819	3730				
447.191262	13849	3699				
447.296761	13796	3713				
447.40226	13680	3650				
447.507758	13807	3759				
447.613257	13860	3748				
447.718755	13624	3693				
447.824253	13761	3713				
447.929751	13841	3690				
448.035248	13895	3699				
448.140746	13814	3708				
448.246243	13716	3778				
448.35174	13907	3728				
448.457237	13928	3761				
448.562734	14003	3790				
448.668231	14060	3804				
448.773727	13966	3716				
448.879224	14176	3849				
448.98472	14058	3822				
449.090216	14012	3855				
449.195712	14174	3838				
449.301208	13981	3804				
449.406703	13969	3815				
449.512199	14132	3788				
449.617694	14146	3862				
449.723189	14172	3814				
449.828684	14143	3799				
449.934178	14506	3906				
450.039673	14277	3863				
450.145167	14082	3842				
450.250662	14350	3830				
450.356156	14203	3917				
450.46165	14353	3857				
450.567144	14076	3939				
450.672637	14334	3854				
450.778131	14330	3920				
450.883624	14353	3880				
450.989117	14290	3939				
451.09461	14400	3917				
451.200103	14397	3929				
451.305595	14448	3813				
451.411088	14480	3937				
451.51658	14464	3987				
451.622072	14483	3926				
451.727564	14419	3915				
451.833056	14500	3833				
451.938548	14357	3986				
452.044039	14367	3888				
452.149531	14404	3884				
452.255022	14347	4001				
452.360513	14462	3977				
452.466004	14327	3922				
452.571494	14709	3937				
452.676985	14478	4010				
452.782475	14541	3919				
452.887965	14609	3980				
452.993455	14658	3983				
453.098945	14544	4007				
453.204435	14618	3972				
453.309924	14640	3964				
453.415414	14637	3973				
453.520903	14487	3981				
453.626392	14525	4023				
453.731881	14690	3983				
453.83737	14829	4032				
453.942858	14614	4018				
454.048347	14702	4041				
454.153835	14726	4047				
454.259323	14824	4061				
454.364811	14809	4024				
454.470298	14753	4084				
454.575786	14787	4048				
454.681273	15156	4005				
454.786761	14843	4047				
454.892248	14769	4045				
454.997735	14798	4005				
455.103221	14897	4055				
455.208708	14820	4150				
455.314194	14785	4098				
455.419681	15026	4134				
