	PhCN	PhCN/TiO2-Ethanol	PhCN-TiO2-water			
440.966548	5699	1254	4433			
441.072056	5651	1206	4463			
441.177564	5686	1199	4309			
441.283072	5734	1237	4367			
441.38858	5714	1251	4481			
441.494088	5743	1243	4429			
441.599595	5792	1224	4435			
441.705103	5690	1199	4452			
441.81061	5788	1269	4567			
441.916117	5768	1228	4507			
442.021624	5857	1304	4612			
442.12713	5842	1231	4508			
442.232637	5694	1242	4539			
442.338143	5927	1257	4636			
442.44365	5811	1244	4575			
442.549156	5877	1279	4548			
442.654661	5991	1332	4694			
442.760167	5906	1223	4576			
442.865673	5949	1305	4624			
442.971178	6012	1182	4557			
443.076683	6095	1305	4635			
443.182188	6020	1253	4524			
443.287693	6057	1291	4641			
443.393198	6076	1247	4624			
443.498703	6108	1265	4773			
443.604207	6189	1276	4715			
443.709712	6145	1283	4780			
443.815216	6209	1320	4773			
443.92072	6121	1331	4741			
444.026223	6291	1284	4798			
444.131727	6125	1329	4821			
444.237231	6276	1344	4852			
444.342734	6300	1293	4952			
444.448237	6323	1269	4899			
444.55374	6312	1309	4854			
444.659243	6178	1282	4915			
444.764745	6176	1275	4902			
444.870248	6202	1293	4863			
444.97575	6266	1319	4919			
445.081253	6274	1365	4810			
445.186755	6336	1347	4826			
445.292256	6348	1351	4927			
445.397758	6278	1284	4971			
445.50326	6416	1362	4876			
445.608761	6473	1342	4959			
445.714262	6569	1329	4960			
445.819763	6412	1335	5018			
445.925264	6441	1325	4959			
446.030765	6549	1372	5029			
446.136266	6539	1378	4946			
446.241766	6577	1398	5065			
446.347266	6544	1363	5049			
446.452766	6650	1371	5105			
446.558266	6544	1322	4966			
446.663766	6567	1346	4922			
446.769266	6641	1385	5100			
446.874765	6640	1377	5042			
446.980264	6662	1354	5053			
447.085763	6745	1382	4986			
447.191262	6721	1363	5107			
447.296761	6723	1339	5095			
447.40226	6696	1388	5068			
447.507758	6812	1381	5095			
447.613257	6712	1421	5070			
447.718755	6743	1376	5151			
447.824253	6881	1422	5107			
447.929751	6942	1411	5190			
448.035248	6947	1357	5303			
448.140746	7059	1454	5142			
448.246243	6979	1408	5228			
448.35174	7020	1410	5211			
448.457237	6962	1458	5127			
448.562734	7087	1465	5221			
448.668231	7116	1390	5154			
448.773727	7038	1478	5301			
448.879224	6949	1429	5221			
448.98472	7136	1462	5225			
449.090216	7044	1412	5268			
449.195712	7037	1478	5251			
449.301208	7071	1462	5199			
449.406703	7116	1404	5236			
449.512199	7001	1449	5346			
449.617694	7164	1440	5289			
449.723189	7184	1503	5350			
449.828684	7217	1430	5333			
449.934178	7138	1445	5302			
450.039673	7314	1492	5287			
450.145167	7344	1462	5328			
450.250662	7306	1489	5507			
450.356156	7512	1422	5404			
450.46165	7442	1471	5377			
450.567144	7538	1479	5370			
450.672637	7385	1497	5364			
450.778131	7452	1511	5428			
450.883624	7525	1485	5371			
450.989117	7491	1468	5332			
451.09461	7554	1505	5363			
451.200103	7694	1497	5313			
451.305595	7658	1554	5386			
451.411088	7485	1524	5403			
451.51658	7574	1539	5419			
451.622072	7702	1530	5523			
451.727564	7585	1535	5470			
451.833056	7710	1530	5512			
451.938548	7743	1504	5521			
452.044039	7690	1576	5510			
452.149531	7659	1587	5440			
452.255022	7769	1469	5521			
452.360513	7766	1507	5514			
452.466004	7960	1581	5490			
452.571494	7832	1540	5590			
452.676985	7855	1501	5593			
452.782475	8045	1564	5565			
452.887965	7977	1554	5578			
452.993455	7877	1553	5493			
453.098945	8060	1577	5567			
453.204435	8146	1598	5568			
453.309924	8071	1569	5550			
453.415414	8005	1581	5598			
453.520903	8180	1592	5652			
453.626392	7924	1560	5696			
453.731881	8123	1583	5645			
453.83737	8090	1568	5605			
453.942858	8266	1567	5710			
454.048347	8133	1555	5609			
454.153835	8216	1538	5636			
454.259323	8081	1588	5738			
454.364811	8341	1614	5753			
454.470298	8324	1612	5730			
454.575786	8272	1580	5714			
454.681273	8151	1552	5601			
454.786761	8276	1635	5728			
454.892248	8410	1616	5623			
454.997735	8479	1655	5733			
455.103221	8399	1656	5756			
455.208708	8492	1632	5720			
455.314194	8590	1585	5794			
